2025-04-07 10:18:26,149 - INFO - Created a socket
2025-04-07 10:18:26,150 - INFO - Created a socket
2025-04-07 10:18:26,167 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,168 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,305 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,306 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,306 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,444 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,444 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,580 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,581 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,583 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,722 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,723 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,872 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,873 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:26,873 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,026 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,026 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,236 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,237 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,238 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,543 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,544 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,679 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,679 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,680 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,816 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,816 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,948 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,949 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:27,950 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,082 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,083 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,242 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,243 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,243 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,385 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,386 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,539 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,540 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,540 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,676 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,677 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,812 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,813 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,944 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:28,944 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,081 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,081 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,219 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,220 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,358 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,358 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,493 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,494 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,629 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,630 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,765 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,766 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,944 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:29,945 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,085 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,087 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,225 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,226 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,364 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,365 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,505 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,507 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,639 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,640 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,776 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,777 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,909 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:30,909 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,044 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,044 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,174 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,175 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,308 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,309 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,310 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,444 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,444 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,580 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,581 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,714 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,715 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,847 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:31,848 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:32,039 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
2025-04-07 10:18:32,040 - INFO - ego_x:118.81695830000001,ego_y:31.892226300000004
