2025-04-23 11:06:45,430 - INFO - Created a socket
2025-04-23 11:06:45,432 - INFO - Created a socket
2025-04-23 11:06:51,212 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:51,322 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:51,482 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:51,597 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:51,718 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:51,799 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:51,861 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:51,925 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:51,990 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,060 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,125 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,206 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,275 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,393 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,511 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,622 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,726 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,806 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,907 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:52,988 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,053 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,118 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,186 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,340 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,403 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,467 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,533 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,601 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,660 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,727 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,790 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,846 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,909 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:53,966 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:54,029 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:54,092 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:54,149 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:54,211 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:54,275 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:54,331 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:54,396 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:54,453 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:06:54,517 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
