2025-04-07 14:29:43,407 - INFO - Created a socket
2025-04-07 14:29:43,408 - INFO - Created a socket
2025-04-07 14:29:43,447 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,448 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,448 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,452 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,452 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,462 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,473 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,478 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,488 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,498 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,511 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,518 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,528 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,538 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,548 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,563 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,568 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,578 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,588 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,598 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,615 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,618 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,628 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,638 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,648 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,666 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,673 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,678 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,688 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,698 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,715 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,718 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,728 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,738 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,748 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,766 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,768 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,778 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,788 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
2025-04-07 14:29:43,798 - INFO - ego_x:118.81697609999998,ego_y:31.892241499999983
